,ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
530,E09.52,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
531,E09.59,Drug or chemical induced diabetes mellitus with other circulatory complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
532,E09.59,Drug or chemical induced diabetes mellitus with other circulatory complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
533,E09.610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
534,E09.610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
535,E09.618,Drug or chemical induced diabetes mellitus with other diabetic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
536,E09.618,Drug or chemical induced diabetes mellitus with other diabetic arthropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
537,E09.620,Drug or chemical induced diabetes mellitus with diabetic dermatitis,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
538,E09.620,Drug or chemical induced diabetes mellitus with diabetic dermatitis,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
539,E09.621,Drug or chemical induced diabetes mellitus with foot ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
540,E09.621,Drug or chemical induced diabetes mellitus with foot ulcer,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
541,E09.622,Drug or chemical induced diabetes mellitus with other skin ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
542,E09.622,Drug or chemical induced diabetes mellitus with other skin ulcer,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
543,E09.628,Drug or chemical induced diabetes mellitus with other skin complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
544,E09.628,Drug or chemical induced diabetes mellitus with other skin complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
545,E09.630,Drug or chemical induced diabetes mellitus with periodontal disease,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
546,E09.630,Drug or chemical induced diabetes mellitus with periodontal disease,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
547,E09.638,Drug or chemical induced diabetes mellitus with other oral complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
548,E09.638,Drug or chemical induced diabetes mellitus with other oral complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
549,E09.641,Drug or chemical induced diabetes mellitus with hypoglycemia with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
550,E09.641,Drug or chemical induced diabetes mellitus with hypoglycemia with coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
551,E09.649,Drug or chemical induced diabetes mellitus with hypoglycemia without coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
552,E09.649,Drug or chemical induced diabetes mellitus with hypoglycemia without coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
553,E09.65,Drug or chemical induced diabetes mellitus with hyperglycemia,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
554,E09.65,Drug or chemical induced diabetes mellitus with hyperglycemia,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
555,E09.69,Drug or chemical induced diabetes mellitus with other specified complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
556,E09.69,Drug or chemical induced diabetes mellitus with other specified complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
557,E09.8,Drug or chemical induced diabetes mellitus with unspecified complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
558,E09.8,Drug or chemical induced diabetes mellitus with unspecified complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
559,E09.9,Drug or chemical induced diabetes mellitus without complications,END002,Diabetes mellitus without complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
560,E09.9,Drug or chemical induced diabetes mellitus without complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
561,E10.10,Type 1 diabetes mellitus with ketoacidosis without coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
562,E10.10,Type 1 diabetes mellitus with ketoacidosis without coma,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
563,E10.11,Type 1 diabetes mellitus with ketoacidosis with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
564,E10.11,Type 1 diabetes mellitus with ketoacidosis with coma,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
565,E10.21,Type 1 diabetes mellitus with diabetic nephropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
566,E10.21,Type 1 diabetes mellitus with diabetic nephropathy,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
567,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
568,E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
569,E10.29,Type 1 diabetes mellitus with other diabetic kidney complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
570,E10.29,Type 1 diabetes mellitus with other diabetic kidney complication,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
571,E10.311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
572,E10.311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
573,E10.319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
574,E10.319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
575,E10.321,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
576,E10.321,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
577,E10.3211,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
578,E10.3211,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
579,E10.3212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
580,E10.3212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
581,E10.3213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
582,E10.3213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
583,E10.3219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
584,E10.3219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
585,E10.329,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
586,E10.329,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
587,E10.3291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
588,E10.3291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
589,E10.3292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
590,E10.3292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
591,E10.3293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
592,E10.3293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
593,E10.3299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
594,E10.3299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
595,E10.331,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
596,E10.331,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
597,E10.3311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
598,E10.3311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
599,E10.3312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
600,E10.3312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
601,E10.3313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
602,E10.3313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
603,E10.3319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
604,E10.3319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
605,E10.339,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
606,E10.339,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
607,E10.3391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
608,E10.3391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
609,E10.3392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
610,E10.3392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
611,E10.3393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
612,E10.3393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
613,E10.3399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
614,E10.3399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
615,E10.341,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
616,E10.341,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
617,E10.3411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
618,E10.3411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
619,E10.3412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
620,E10.3412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
621,E10.3413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
622,E10.3413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
623,E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
624,E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
625,E10.349,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
626,E10.349,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
627,E10.3491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
628,E10.3491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
629,E10.3492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
630,E10.3492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
631,E10.3493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
632,E10.3493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
633,E10.3499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
634,E10.3499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
635,E10.351,Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
636,E10.351,Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
637,E10.3511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
638,E10.3511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
639,E10.3512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
640,E10.3512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
641,E10.3513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
642,E10.3513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
643,E10.3519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
644,E10.3519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
645,E10.3521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
646,E10.3521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
647,E10.3522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
648,E10.3522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
649,E10.3523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
650,E10.3523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
651,E10.3529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
652,E10.3529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
653,E10.3531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
654,E10.3531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
655,E10.3532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
656,E10.3532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
657,E10.3533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
658,E10.3533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
659,E10.3539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
660,E10.3539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
661,E10.3541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
662,E10.3541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
663,E10.3542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
