ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1036,Type 1 diabetes mellitus with diabetic cataract,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1036,Type 1 diabetes mellitus with diabetic cataract,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1044,Type 1 diabetes mellitus with diabetic amyotrophy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1044,Type 1 diabetes mellitus with diabetic amyotrophy,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1049,Type 1 diabetes mellitus with other diabetic neurological complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1049,Type 1 diabetes mellitus with other diabetic neurological complication,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1059,Type 1 diabetes mellitus with other circulatory complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1059,Type 1 diabetes mellitus with other circulatory complications,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10618,Type 1 diabetes mellitus with other diabetic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10618,Type 1 diabetes mellitus with other diabetic arthropathy,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10620,Type 1 diabetes mellitus with diabetic dermatitis,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10620,Type 1 diabetes mellitus with diabetic dermatitis,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10621,Type 1 diabetes mellitus with foot ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10621,Type 1 diabetes mellitus with foot ulcer,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10622,Type 1 diabetes mellitus with other skin ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10622,Type 1 diabetes mellitus with other skin ulcer,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10628,Type 1 diabetes mellitus with other skin complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10628,Type 1 diabetes mellitus with other skin complications,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10630,Type 1 diabetes mellitus with periodontal disease,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10630,Type 1 diabetes mellitus with periodontal disease,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10638,Type 1 diabetes mellitus with other oral complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10638,Type 1 diabetes mellitus with other oral complications,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10641,Type 1 diabetes mellitus with hypoglycemia with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10641,Type 1 diabetes mellitus with hypoglycemia with coma,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10649,Type 1 diabetes mellitus with hypoglycemia without coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E10649,Type 1 diabetes mellitus with hypoglycemia without coma,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1065,Type 1 diabetes mellitus with hyperglycemia,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1065,Type 1 diabetes mellitus with hyperglycemia,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1069,Type 1 diabetes mellitus with other specified complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1069,Type 1 diabetes mellitus with other specified complication,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E108,Type 1 diabetes mellitus with unspecified complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E108,Type 1 diabetes mellitus with unspecified complications,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E109,Type 1 diabetes mellitus without complications,END002,Diabetes mellitus without complication,Y,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E109,Type 1 diabetes mellitus without complications,END004,"Diabetes mellitus, Type 1",N,02 Diabetes mellitus,E10 Type 1 diabetes mellitus,Diabetes
E1100,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1100,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1101,Type 2 diabetes mellitus with hyperosmolarity with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1101,Type 2 diabetes mellitus with hyperosmolarity with coma,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1110,Type 2 diabetes mellitus with ketoacidosis without coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1110,Type 2 diabetes mellitus with ketoacidosis without coma,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1111,Type 2 diabetes mellitus with ketoacidosis with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1111,Type 2 diabetes mellitus with ketoacidosis with coma,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1121,Type 2 diabetes mellitus with diabetic nephropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1121,Type 2 diabetes mellitus with diabetic nephropathy,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1129,Type 2 diabetes mellitus with other diabetic kidney complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E1129,Type 2 diabetes mellitus with other diabetic kidney complication,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113212,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113212,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113213,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113213,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113219,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113219,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113291,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113291,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113292,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113292,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113293,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113293,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113299,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113299,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11331,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11331,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113311,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113311,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113312,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113312,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113313,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113313,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113319,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113319,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113391,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113391,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113393,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113393,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113399,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113399,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113411,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113411,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113412,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113412,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113413,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113413,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113419,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113419,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E11349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,END005,"Diabetes mellitus, Type 2",N,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
E113491,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E11 Type 2 diabetes mellitus,Diabetes
